LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.292, Time: 2.724900 s
         1461196 function calls (1445815 primitive calls) in 3.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
      134    0.000    0.000    0.001    0.000 inspect.py:3040(replace)
     35/5    0.000    0.000    0.001    0.000 core.py:3675(streamline)
 3538/834    0.001    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
   256/18    0.000    0.000    0.001    0.000 ast.py:420(generic_visit)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1202(dataclass)
      353    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
     9496    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.001    0.000 dataclasses.py:1219(wrap)
        2    0.000    0.000    0.001    0.000 polynomial.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:884(_process_class)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.001    0.001 getlimits.py:158(_register_known_types)
        1    0.000    0.000    0.001    0.001 core.py:5798(<listcomp>)
     3364    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.001    0.001 tz.py:1(<module>)
     2771    0.001    0.000    0.001    0.000 inspect.py:3019(<genexpr>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(all)
        2    0.000    0.000    0.001    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
      614    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.001    0.001 _base.py:542(_AxesBase)
      160    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
        1    0.000    0.000    0.001    0.001 core.py:400(ParserElement)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       51    0.000    0.000    0.001    0.000 _methods.py:61(_all)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        1    0.000    0.000    0.001    0.001 font_manager.py:970(json_load)
       36    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
       42    0.000    0.000    0.001    0.000 core.py:2984(parseImpl)
       63    0.000    0.000    0.001    0.000 core.py:3783(__init__)
        3    0.000    0.000    0.001    0.000 _common.py:1(<module>)
      650    0.000    0.000    0.001    0.000 {built-in method builtins.max}
